id,label,x,y,cluster,weight<Links>
130,ฟอง,-0.0594,0.3859,11,179
131,แช่,0.2612,0.0211,13,221
132,ไข่,-0.2969,0.6015,3,237
133,ครีมเทียม,0.298,0.232,4,145
134,นมยูเอชที,-0.129,-0.6874,7,172
135,พาสเจอร์ไรส์,0.2147,-0.3845,5,329
136,โฟร์โมสต์,0.6099,-0.1525,4,283
137,ตู้เย็น,0.3127,-0.1758,9,254
138,การปรุง,0.5211,-0.46,15,35
139,ติดใจ,0.5815,0.1166,2,125
140,วันหมดอายุ,0.01,-0.6063,9,163
141,กระดูก,-0.8797,0.3965,6,223
142,กระดูกพรุน,-0.8099,0.1077,6,185
143,กล้ามเนื้อ,-0.5248,0.5029,6,169
144,การออกกำลังกาย,-0.9072,0.6966,6,130
145,คนวัยหนุ่มสาว,-0.5521,0.657,6,42
146,ชาเขียว,0.477,0.1468,4,170
147,ธาตุอาหาร,-0.6014,0.2898,6,89
148,ประโยชน์,-0.4346,0.0663,6,232
149,ร้านค้า,0.0942,-0.2813,5,127
150,แข็งแรง,-0.7547,-0.0066,1,291
151,แมกนีเซียม,-0.8977,0.3094,6,81
152,โพแทสเซียม,-0.6491,0.6618,6,43
153,โภชนาการ,-0.3694,0.2136,3,272
154,ไขมันทรานส์,-0.5753,0.6701,6,38
155,ไอศกรีม,0.2131,0.2061,2,173
156,กลมกล่อม,0.9617,0.087,2,88
157,คาว,0.4605,0.0328,17,110
158,ร้านกาแฟ,0.865,-0.0213,4,121
159,สตาร์บัค,1.0669,0.4111,4,28
160,ปวดท้อง,-0.4941,0.1167,12,192
161,สะดวก,0.3468,0.6743,14,264
162,ผู้สูงอายุ,-0.3034,0.3473,3,145
163,กระทรวงพาณิชย์,-1.127,0.5578,6,19
164,น้ำย่อย,-0.754,0.0601,12,154
165,แกลลอน,0.1819,-0.263,14,132
166,uht,-0.0482,-0.1631,9,267
167,ความแตกต่าง,-0.1842,0.0992,15,140
168,ราคาแพง,-0.2127,-0.1869,6,183
169,ร้านนม,0.8566,-0.3345,4,46
170,โรงงาน,0.3898,-0.5537,11,152
171,ปนเปื้อน,-0.1252,-0.6727,7,96
172,สะอาด,-0.3643,-0.4274,7,166
173,หลอด,0.1099,-0.598,5,164
174,บูด,0.1152,-0.7474,9,175
175,แถม,0.0009,0.1139,4,302
176,โอวัลติน,0.6759,-0.3417,5,94
177,ไมโล,0.6094,-0.2307,5,80
178,ไม่อร่อย,0.5786,0.0637,4,192
179,กระบวนการผลิต,-0.4488,-0.4327,9,178
180,คุณประโยชน์,-0.1992,-0.5991,9,61
181,น้ำนม,-0.4394,-0.0968,10,295
182,บรรจุขวด,0.272,-0.5221,9,99
183,โคนม,0.1105,-0.4742,14,182
184,ห้างสรรพสินค้า,0.3046,-0.3093,5,231
185,นมโรงเรียน,0.1935,-0.8645,7,116
186,กล้าม,-0.399,0.8736,3,119
187,ถั่วเหลือง,-0.517,0.0816,15,171
188,เนื้อสัตว์,-0.5266,0.1,15,204
189,อเมริกาโน,1.2987,0.0571,4,11
190,ตีฟอง,0.6074,0.3539,11,56
191,ขายปลีก,1.1039,-0.0434,11,17
192,หมา,-0.0157,0.0886,10,114
193,ฟิต,-0.2544,0.2009,10,106
194,เล่นกล้าม,0.4012,0.8777,4,98
195,วานิลลา,0.9444,-0.1547,4,45
196,หางนม,0.0342,0.4175,3,109
197,เล่นเวท,-0.2872,0.7061,3,100
198,น้ำเต้าหู้,0.2021,-0.0232,14,168
199,บรรจุภัณฑ์,-0.0946,-0.5443,1,196
200,ร้านนมสด,0.918,-0.1485,4,52
201,ตะกอน,0.1035,-0.6999,9,66
202,ให้นม,-0.4808,-0.4364,1,239
203,หนองโพ,0.304,-0.1812,5,219
204,น้ำตาลเทียม,0.5222,0.6066,11,25
205,อาเจียน,-0.2999,-0.4748,5,192
206,มีประโยชน์,-0.5194,0.0567,1,293
207,ทำอาหาร,0.0785,0.0563,2,151
208,นมแม่,-0.5836,-0.1736,1,248
209,หย่านม,-0.7602,-0.2461,8,129
210,แปรงฟัน,0.0846,-0.1551,13,93
211,เครียด,-0.3102,-0.1265,1,158
212,นมถั่วเหลือง,-0.4305,0.1985,10,259
213,ไฮโปรตีน,-0.1059,0.9253,3,118
214,เพาะกาย,-0.0665,0.7793,3,129
215,เซ็นทรัล,0.6346,-0.4216,10,50
216,ขายส่ง,0.6672,0.0827,11,61
217,เบเกอรี่,0.5029,-0.0798,19,95
218,ลดราคา,0.403,-0.5804,5,103
219,กลิ่นคาว,0.44,-0.152,2,73
220,โครงการหลวง,0.6111,-0.2443,14,77
221,น้ำอัดลม,-0.3493,-0.0001,1,151
222,ออร์แกนิค,0.1207,-0.0853,11,123
223,vitamin,-1.2858,0.7959,8,6
224,อยากสูง,-0.239,0.3993,16,88
225,เก็บรักษา,-0.1383,-0.5578,9,168
226,พยาบาล,-0.6851,-0.0845,8,93
227,ป่วย,-0.4013,-0.1212,1,194
228,คลอด,-0.7034,-0.2724,1,189
229,ลดน้ำหนัก,0.0012,0.6182,3,124
230,ฟิตเนส,-0.024,0.8568,3,87
231,ไข่ขาว,-0.1349,0.6982,3,91
232,มะม่วง,-0.0101,0.0042,16,70
233,กลูโคส,-0.2248,0.6795,3,103
234,ของหวาน,-0.1716,0.7114,3,113
235,ซ่อมแซมส่วนที่สึกหรอ,-0.3825,0.7061,3,106
236,ดูแลสุขภาพ,-0.4111,0.6182,3,110
237,ท้องตลาด,-0.0396,-0.036,7,192
238,นักกีฬา,-0.4952,0.5687,3,125
239,เพิ่มปริมาณ,-0.8014,0.2497,3,118
240,โซเดียม,-0.7207,0.7379,10,90
241,คุณหมอ,-0.8193,0.0727,1,213
242,การฉายแสง,0.1924,0.8242,12,10
243,มะเร็ง,-0.2964,0.0555,8,181
244,โปรโมชั่น,0.3458,0.0698,12,134
245,ไข่ต้ม,-0.1521,0.5757,12,121
246,ร้านขายของชำ,0.4383,-0.6326,13,26
247,ส่วนสูง,-0.211,0.3346,16,106
248,เสริมสร้างร่างกาย,-0.3327,0.8325,3,20
249,ท้องว่าง,-0.3097,-0.2624,12,100
250,ลำไส้,-0.5785,-0.0543,15,195
251,เต้าหู้,-0.3675,0.0475,8,132
252,เปรี้ยว,0.1974,-0.4677,9,146
253,ไข่ไก่,-0.0122,0.7212,3,86
255,กระเพาะ,-0.6329,-0.4052,1,176
256,กระเพาะอาหาร,-0.9766,0.0757,8,60
257,เว็บไซต์,0.2442,0.0682,4,50
258,คนท้อง,-0.2585,0.0471,11,111
259,ข้าวโอ๊ต,0.4171,1.0841,13,39
260,คนสูงอายุ,0.069,1.0956,3,32
261,อกไก่,-0.0807,0.8945,3,81
262,ออกกำลัง,-0.1868,0.7126,3,103
263,แอลคานีทีน,0.11,0.9578,3,84
264,มื้อเช้า,-0.2078,0.485,1,82
265,ท้องอืด,-0.2064,0.0434,15,165
266,ไวตามิลค์,0.6992,-0.0112,13,45
267,โด๊ป,-0.6149,-0.0188,1,64
268,ตั้งครรภ์,-0.8195,-0.1581,6,170
269,แก้ขัด,0.8808,-0.0187,17,42
270,คุ้มค่า,0.0985,0.3329,13,155
271,ระบบขับถ่าย,-0.1661,-0.3917,1,53
272,ปริมาตร,-0.0686,0.462,3,98
273,ชาเขียวมัจฉะ,1.118,0.5405,13,7
274,ท้องร่วง,-0.6276,-0.5965,8,52
275,รสกาแฟ,0.6339,0.0392,4,145
276,ขวดนม,-0.1255,-0.2494,10,152
277,เชื้อโรค,-0.0656,-0.47,8,131
278,ถูกปาก,0.283,-0.3225,15,95
279,มอลต์,0.6263,-0.1467,5,121
280,ยูเอชที,0.0081,-0.6332,7,165
281,สารกันบูด,0.7537,-0.6833,5,31
282,ขาดตลาด,0.7606,-0.0832,17,53
283,โชคชัย,0.3459,-0.2923,5,148
284,กระดูกแข็งแรง,-0.6783,0.6744,16,42
285,เตี้ย,-0.3178,0.2568,16,92
286,นอนหลับ,-0.9867,0.0995,6,89
287,แพ้นม,-0.5153,0.1939,15,146
288,บำรุง,-0.4555,-0.2172,1,177
289,ภูมิแพ้,-0.7178,0.0313,8,165
290,สมูทตี้,0.7886,0.0267,2,36
291,การจัดส่ง,-0.2859,-0.9415,9,18
292,พนักงานขายนม,1.3034,0.9086,4,2
293,รสธรรมชาติ,0.3463,-0.4005,7,138
294,เจมส์จิ,0.4465,-1.0461,7,11
295,เมจิบัลแกเรีย,-0.1143,-0.3971,8,114
296,แดรี่โฮม,0.45,-0.0769,10,87
297,คาราเมล,1.1414,0.1455,2,27
298,น้ำตาลทรายแดง,1.1116,-0.201,13,22
299,กล้วย,0.4693,0.2107,13,117
300,อุ่นนม,1.3917,0.2105,2,6
301,หายาก,0.8304,0.0732,2,106
302,ถูกอกถูกใจ,0.4193,-0.1334,1,43
303,แพะ,-0.8313,-0.0772,6,125
304,โรคเบาหวาน,-0.8379,-0.0258,6,80
305,ความดัน,-0.0996,0.6055,16,36
306,งานวิจัย,-0.6886,0.0968,6,159
307,ผลวิจัย,-0.9981,-0.1768,8,44
308,กาเฟอีน,0.6477,1.1066,4,3
309,อีโคไล,-0.9843,-0.3919,8,15
310,เต้าฮวยนมสด,0.5969,0.6983,3,21
311,โฟมนม,1.7325,0.4927,4,1
312,กรดอะมิโน,-0.6888,0.1921,15,149
313,ความสะอาด,0.0146,-0.756,9,78
314,ขโมย,-0.346,0.4605,16,47
315,ขายดี,0.2087,0.0623,5,114
316,พรีเซนเตอร์,0.6658,-0.4214,19,58
317,ขนมหวาน,0.6625,0.1376,2,65
318,แป้งข้าวโพด,0.9394,0.3177,2,38
319,ทำความสะอาด,-0.3162,-0.2567,11,129
320,สูตรลดน้ำตาล,1.6327,0.0014,2,3
321,dha,0.0791,-0.4006,17,78
322,ธาตุเหล็ก,-0.546,0.1353,15,120
